"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-01","78",",,S","56",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-02","73",",,S","51",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-03","74",",,S","52",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-04","75",",,S","52",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-05","77",",,S","52",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-06",,,"57",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-07","79",",,S","55",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-08","82",",,S","57",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-09","82",",,S","62",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-10","82",",,S","58",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-11","82",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-12","80",",,S","54",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-13","81",",,S","54",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-14","82",",,S","59",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-15","80",",,S","61",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-16","77",",,S","58",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-17","77",",,S","57",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-18","76",",,S","55",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-19","76",",,S","52",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-20","79",",,S","53",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-21","79",",,S","58",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-22","78",",,S","58",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-23","76",",,S","54",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-24","80",",,S","56",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-25","73",",,S","60",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-26","76",",,S","55",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-27","77",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-28","75",",,S","51",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-29","72",",,S","50",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-30","73",",,S","50",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-01-31","75",",,S","52",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-01","77",",,S","51",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-02","79",",,S","53",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-03","83",",,S","55",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-04","84",",,S","60",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-05","85",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-06","83",",,S","62",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-07","83",",,S","63",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-08","87",",,S","61",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-09","89",",,S","63",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-10","90",",,S","64",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-11","89",",,S","61",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-12","88",",,S","64",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-13","90",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-14","88",",,S","66",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-15","85",",,S","68",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-16","81",",,S","63",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-17","78",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-18","73",",,S","53",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-19","68",",,S","48",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-20","71",",,S","46",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-21","74",",,S","51",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-22","78",",,S","50",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-23","84",",,S","52",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-24","88",",,S","60",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-25","90",",,S","64",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-26","92",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-27","96",",,S","66",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-28","95",",,S","69",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-01","91",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-02",,,,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-03","88",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-04","87",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-05","87",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-06","91",",,S","65",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-07","89",",,S","66",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-08","91",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-09","87",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-10","89",",,S","66",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-11","90",",,S","66",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-12","94",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-13","97",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-14","99",",,S","69",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-15","99",",,S","70",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-16","98",",,S","68",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-17","97",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-18","96",",,S","66",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-19","97",",,S","69",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-20","98",",,S","68",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-21",,,"71",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-22","92",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-23","93",",,S","69",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-24","96",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-25","96",",,S","70",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-26","96",",,S","72",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-27","97",",,S","72",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-28","99",",,S","71",",,S"
